,,,purchased_price,produced_price
Ashanti,Garlic,American Tin (Olonka),1.0,
Ashanti,Garlic,Balls,0.6666666666666666,
Ashanti,Garlic,Bowl,2.0,
Ashanti,Garlic,Bunch,1.0,
Ashanti,Garlic,Bundle,1.0,
Ashanti,Garlic,Gram,0.5833333333333333,
Ashanti,Garlic,Heap,1.0,
Ashanti,Garlic,Millilitre,1.0,
Ashanti,Garlic,Other unit,1.0,
Ashanti,Garlic,Packet,14.0,
Ashanti,Garlic,Piece,0.2,
Ashanti,Garlic,Satchet,0.5,
Ashanti,Garlic,Single,1.0,
Ashanti,Gin,Tot (25mls),1.0,
Ashanti,Ginger,American Tin (Olonka),10.0,
Ashanti,Ginger,Bowl,2.0,
Ashanti,Ginger,Bunch,0.75,
Ashanti,Ginger,Bundle,1.0,
Ashanti,Ginger,Fingers,0.25,
Ashanti,Ginger,Gram,0.25,
Ashanti,Ginger,Heap,1.0,
Ashanti,Ginger,Margarin tin,3.4607843137254903,
Ashanti,Ginger,Piece,0.3333333333333333,
Ashanti,Ginger,Plate (food),1.0,
Ashanti,Ginger,Satchet,0.5,
Ashanti,Ginger,Single,0.5,
Ashanti,Goat,Gram,5.0,
Ashanti,Goat,Heap,10.0,
Ashanti,Goat,Kilogram,12.0,
Ashanti,Goat,Packet,10.0,
Ashanti,Goat,Pound,12.0,20.0
Ashanti,Goat,Satchet,5.333333333333333,
Ashanti,Goat,Single,150.0,150.0
Ashanti,Goat,Tin,12.0,
Ashanti,Grape,Bowl,5.0,
Ashanti,Grape,Bunch,8.5,
Ashanti,Grape,Heap,5.0,
Ashanti,Grape,Packet,6.5,
Ashanti,Grape,Single,0.5,
Ashanti,Groundnut,American Tin (Olonka),8.5,
Ashanti,Groundnut,Balls,2.0,
Ashanti,Groundnut,Bowl,2.0,7.0
Ashanti,Groundnut,Bucket,13.5,
Ashanti,Groundnut,Bunch,1.5,
Ashanti,Groundnut,Bundle,2.0,
Ashanti,Groundnut,Gram,2.0,
Ashanti,Groundnut,Heap,1.0,2.0
Ashanti,Groundnut,Margarin tin,5.0,5.0
Ashanti,Groundnut,Maxi bag,1.5,
Ashanti,Groundnut,Mini bag,2.0,
Ashanti,Groundnut,Other unit,1.0,
Ashanti,Groundnut,Packet,1.0,
Ashanti,Groundnut,Piece,1.0,
Ashanti,Groundnut,Satchet,1.0,
Ashanti,Groundnut,Single,2.0,
Ashanti,Groundnut,Tin,2.25,
Ashanti,Guinea corn/sorghum,Bowl,1.5,3.0
Ashanti,Guinea corn/sorghum,Maxi bag,100.0,
Ashanti,Guinea corn/sorghum,Tin,2.0,
Ashanti,Guineafowl,Single,35.0,
Ashanti,Herring (smoked),American Tin (Olonka),18.75,
Ashanti,Herring (smoked),Basket,1.0,
Ashanti,Herring (smoked),Bowl,7.0,
Ashanti,Herring (smoked),Fingers,0.6666666666666666,
Ashanti,Herring (smoked),Gram,1.3333333333333333,
Ashanti,Herring (smoked),Heap,2.3333333333333335,
Ashanti,Herring (smoked),Margarin tin,5.0,
Ashanti,Herring (smoked),Other unit,4.0,
Ashanti,Herring (smoked),Piece,1.0,
Ashanti,Herring (smoked),Rolls,2.0,
Ashanti,Herring (smoked),Set,2.0,
Ashanti,Herring (smoked),Single,2.0,
Ashanti,Herring (smoked),Tin,1.0,
Ashanti,Honey,Beer bottle,20.0,
Ashanti,Honey,Bowl,15.5,
Ashanti,Honey,Bundle,2.0,
Ashanti,Honey,Fanta bottle,15.0,
Ashanti,Honey,Litres,16.363636363636363,
Ashanti,Honey,Single,15.0,
Ashanti,Ice Cream,Packet,1.0,
Ashanti,Ice Cream,Piece,1.0,
Ashanti,Ice Cream,Satchet,1.0,
Ashanti,Ice Cream,Single,1.0,
Ashanti,Instant Noodle,Packet,1.2,
Ashanti,Instant Noodle,Satchet,1.5,
Ashanti,Instant Noodle,Single,1.5,
Ashanti,Juice,Blister / Strip,0.6,
Ashanti,Juice,Box/Carton,7.0,
Ashanti,Juice,Crate,24.0,
Ashanti,Juice,Dozen,12.0,
Ashanti,Juice,Gram,1.2,
Ashanti,Juice,Litres,6.5,
Ashanti,Juice,Other unit,3.0,
Ashanti,Juice,Packet,1.0,
Ashanti,Juice,Piece,1.2,
Ashanti,Juice,Single,1.5,
Ashanti,Jute Leaf,Bowl,,1.0
Ashanti,Kapla,American Tin (Olonka),8.0,
Ashanti,Kapla,Bowl,10.0,
Ashanti,Kapla,Box/Carton,35.0,
Ashanti,Kapla,Bucket,25.0,
Ashanti,Kapla,Fingers,2.6666666666666665,
Ashanti,Kapla,Gram,1.5,
Ashanti,Kapla,Heap,5.0,
Ashanti,Kapla,Kilogram,7.0,
Ashanti,Kapla,Millilitre,2.0,
Ashanti,Kapla,Packet,10.0,
Ashanti,Kapla,Piece,1.0,
Ashanti,Kapla,Pound,10.0,
Ashanti,Kapla,Single,1.6666666666666667,
Ashanti,Kapla,Tin,7.0,
Ashanti,Lime,Bowl,2.5,
Ashanti,Lime,Single,0.29166666666666663,
Ashanti,Macaroni,Packet,3.75,
Ashanti,Macaroni,Satchet,2.5,
Ashanti,Macaroni,Single,3.0,
Ashanti,Mackerel (processed),Blister / Strip,5.0,
Ashanti,Mackerel (processed),Box/Carton,53.0,
Ashanti,Mackerel (processed),Gram,2.5,
Ashanti,Mackerel (processed),Heap,4.5,
Ashanti,Mackerel (processed),Kilogram,4.25,
Ashanti,Mackerel (processed),Margarin tin,3.5,
Ashanti,Mackerel (processed),Piece,2.5,
Ashanti,Mackerel (processed),Single,4.5,
Ashanti,Mackerel (processed),Tin,4.5,
Ashanti,Maize (cob),American Tin (Olonka),,4.0
Ashanti,Maize (cob),Bowl,,8.0
Ashanti,Maize (cob),Single,,4.0
Ashanti,Maize (flour/dough),American Tin (Olonka),,10.0
Ashanti,Maize (flour/dough),Balls,1.0,2.0
Ashanti,Maize (flour/dough),Bowl,2.0,4.0
Ashanti,Maize (flour/dough),Heap,2.0,
Ashanti,Maize (flour/dough),Margarin tin,1.75,
Ashanti,Maize (grain),American Tin (Olonka),7.5,
Ashanti,Maize (grain),Bowl,8.25,
Ashanti,Maize (grain),Bucket,13.5,
Ashanti,Malt Drinks (bottle),Box/Carton,25.0,
Ashanti,Malt Drinks (bottle),Crate,48.0,
Ashanti,Malt Drinks (bottle),Dozen,23.0,
Ashanti,Malt Drinks (bottle),Fanta bottle,2.5,
Ashanti,Malt Drinks (bottle),Maxi bag,2.0,
Ashanti,Malt Drinks (bottle),Millilitre,2.5,
Ashanti,Malt Drinks (bottle),Other unit,12.75,
Ashanti,Malt Drinks (bottle),Packet,11.0,
Ashanti,Malt Drinks (bottle),Piece,2.5,
Ashanti,Malt Drinks (bottle),Single,2.5,
Ashanti,Malt Drinks (bottle),Tin,3.0,
Ashanti,Malt Drinks (canned),Box/Carton,15.0,
Ashanti,Malt Drinks (canned),Crate,57.5,
Ashanti,Malt Drinks (canned),Gram,3.0,
Ashanti,Malt Drinks (canned),Millilitre,3.0,
Ashanti,Malt Drinks (canned),Other unit,3.5,
Ashanti,Malt Drinks (canned),Piece,3.0,
Ashanti,Malt Drinks (canned),Set,25.0,
Ashanti,Malt Drinks (canned),Single,3.0,
Ashanti,Malt Drinks (canned),Tin,3.0,
Ashanti,Mango,Basket,,7.0
Ashanti,Mango,Bowl,2.0,
Ashanti,Mango,Heap,2.0,
Ashanti,Mango,Piece,2.0,
Ashanti,Mango,Single,0.3666666666666667,4.0
Ashanti,Margarine,Beer bottle,3.5,
Ashanti,Margarine,Bowl,4.0,
Ashanti,Margarine,Fanta bottle,2.7,
Ashanti,Margarine,Gram,0.3,
Ashanti,Margarine,Heap,3.0,
Ashanti,Margarine,Litres,6.25,
Ashanti,Margarine,Margarin tin,3.0,
Ashanti,Margarine,Packet,4.0,
Ashanti,Margarine,Satchet,0.3,
Ashanti,Margarine,Single,3.5,
Ashanti,Milk (evaporated),Box/Carton,59.5,
Ashanti,Milk (evaporated),Dozen,20.0,
Ashanti,Milk (evaporated),Gram,2.5,
Ashanti,Milk (evaporated),Heap,4.0,
Ashanti,Milk (evaporated),Margarin tin,3.0,
Ashanti,Milk (evaporated),Millilitre,3.0,
Ashanti,Milk (evaporated),Packet,2.25,
Ashanti,Milk (evaporated),Piece,3.0,
Ashanti,Milk (evaporated),Satchet,0.8,
Ashanti,Milk (evaporated),Single,2.6,
Ashanti,Milk (evaporated),Tin,2.5,
Ashanti,Milk (fresh),Millilitre,0.502,
Ashanti,Milk (fresh),Tin,2.5,
Ashanti,Milk (powdered),American Tin (Olonka),10.0,
Ashanti,Milk (powdered),Box/Carton,32.0,
Ashanti,Milk (powdered),Gram,1.0,
Ashanti,Milk (powdered),Heap,0.2,
Ashanti,Milk (powdered),Margarin tin,6.0,
Ashanti,Milk (powdered),Packet,1.0,
Ashanti,Milk (powdered),Piece,15.0,
Ashanti,Milk (powdered),Satchet,1.0,
Ashanti,Milk (powdered),Single,0.6,
Ashanti,Milk (powdered),Tin,23.0,
Ashanti,"Milk (tinned, condensed)",Single,2.5,
Ashanti,Millet (flour),Bowl,2.1,
Ashanti,Millet (flour),Margarin tin,3.0,
Ashanti,Oil (coconut),Gram,1.5,
Ashanti,Oil (groundnut),Beer bottle,4.0,
Ashanti,Oil (groundnut),Fanta bottle,,7.0
Ashanti,Oil (groundnut),Litres,2.0,
Ashanti,Oil (groundnut),Millilitre,2.0,
Ashanti,Oil (palm kernel),Beer bottle,4.0,6.0
Ashanti,Oil (palm kernel),Fanta bottle,3.25,
Ashanti,Oil (palm kernel),Litres,2.0,
Ashanti,Oil (palm),Beer bottle,5.0,4.0
Ashanti,Oil (palm),Bowl,4.0,
Ashanti,Oil (palm),Fanta bottle,3.0,2.0
Ashanti,Oil (palm),Gram,1.5,1.5
