country,wave,status,n_hh,n_psu,hh_per_psu,n_strata,wt_n,wt_cv,wt_max_over_med,wt_distinct,panel_wt_pct,rural_pct
Serbia,2007,ok,5557.0,510.0,10.9,6.0,5557.0,0.453,7.35,582.0,100.0,46.0
Serbia and Montenegro,2002,ok,6386.0,618.0,10.33,6.0,6386.0,0.292,11.0,62.0,0.0,45.0
Serbia and Montenegro,2003,ok,2548.0,301.0,8.47,6.0,2548.0,0.288,3.81,60.0,100.0,46.0
South Africa,1993,ok,8809.0,355.0,24.81,9.0,8809.0,0.243,7.59,25.0,100.0,50.0
Tajikistan,1999,ok,2000.0,125.0,16.0,0.0,0.0,,,,,73.0
Tajikistan,2003,ok,4160.0,208.0,20.0,0.0,4160.0,0.294,1.0,4.0,,63.0
Tajikistan,2007,ok,4860.0,270.0,18.0,9.0,4860.0,0.528,2.66,267.0,,65.0
Tajikistan,2009,ok,1503.0,167.0,9.0,9.0,1503.0,0.457,2.69,292.0,,64.0
Tanzania,2008-09,ok,3265.0,409.0,7.98,16.0,3265.0,0.591,2.32,398.0,100.0,63.0
Tanzania,2010-11,ok,3924.0,409.0,9.59,16.0,3924.0,0.685,5.42,2720.0,100.0,67.0
Tanzania,2012-13,ok,5010.0,409.0,12.25,16.0,5010.0,0.737,8.56,4568.0,100.0,64.0
Tanzania,2014-15,ok,4341.0,493.0,8.81,15.0,4339.0,1.248,31.61,1368.0,23.0,59.0
Tanzania,2019-20,ok,1184.0,247.0,4.79,49.0,1184.0,1.259,25.89,1138.0,100.0,58.0
Tanzania,2020-21,ok,4709.0,515.0,9.14,51.0,4709.0,0.828,4.46,4539.0,88.0,54.0
Timor-Leste,2001,ok,1800.0,300.0,6.0,4.0,1800.0,0.477,3.4,269.0,,61.0
Timor-Leste,2007-08,ok,4477.0,300.0,14.92,10.0,4477.0,0.839,7.55,267.0,,56.0
Togo,2018,ok,6171.0,540.0,11.43,6.0,6171.0,0.595,7.24,537.0,100.0,63.0
Uganda,2005-06,ok,3123.0,322.0,9.7,6.0,3123.0,0.45,3.31,320.0,100.0,72.0
Uganda,2009-10,ok,2975.0,656.0,4.54,6.0,2973.0,0.755,6.13,2246.0,100.0,74.0
Uganda,2010-11,ok,2716.0,324.0,8.38,6.0,2715.0,0.767,5.36,2436.0,100.0,78.0
Uganda,2011-12,ok,2850.0,321.0,8.88,10.0,2826.0,1.295,19.75,2368.0,99.0,80.0
