spec,pair_group,basis,unit_scope,item_scope,farmgate_scope,country,t,geo_rung,item,n_countries,n_cells,n_items,n_geos,median_gap,ratio,iqr_gap,share_abs_gap_gt_log1p5,share_exact_ties,claim_30_50,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,n_geo_singleton,n_eff_cells,loo_min,loo_max,loo_worst_item
farmgate_by_country,market_vs_crop_sale,kg,all,all,all,Ethiopia,,,,1.0,313,37,130.0,0.3709686723646883,1.4491376746189433,0.5697171415941824,0.48881789137380194,0.03514376996805112,True,-0.48754253276405757,0.22934468602428762,-0.23057224272983787,0.09581485857063717,0.9636854978526972,0.32754512679275,75.0,238.0,,,
farmgate_by_country,market_vs_crop_sale,native,sized,all,same_good,Ethiopia,,,,1.0,133,20,55.0,0.2623642644674908,1.2999999999999996,0.3751461429988172,0.3082706766917293,0.045112781954887216,False,1.8833277569820612,0.12345405452336528,0.11394981007185973,0.1576291971220703,0.9481964012216206,0.1224292227498384,30.0,103.0,,,
farmgate_by_country,market_vs_crop_sale,native,sized,all,all,Ethiopia,,,,1.0,161,23,65.0,0.2761178403188999,1.3180031687902636,0.4062662826729016,0.34782608695652173,0.055900621118012424,True,1.8161486751145777,0.1733910333241175,0.2782072108674325,0.1294854207533539,0.952457467312538,0.1389079719071373,38.0,123.0,,,
farmgate_by_country,market_vs_crop_sale,native,all,all,same_good,Ethiopia,,,,1.0,165,22,57.0,0.2231435513142106,1.250000000000001,0.4498930225023028,0.38181818181818183,0.04242424242424243,False,0.768382024148522,0.6929830390455636,0.22249150945182314,0.13034704665831554,0.7914800542131709,0.7210214051043494,30.0,135.0,,,
farmgate_by_country,market_vs_crop_sale,native,all,all,all,Malawi,,,,1.0,120,10,93.0,0.2899092476264711,1.3363062095621219,0.5865100268318351,0.6,0.06666666666666667,True,-0.15249641871780442,0.19630564632238773,-0.004967134781909334,0.1293056955075413,0.9396538787983219,3.2510095845064146,76.0,44.0,,,
farmgate_by_country,market_vs_crop_sale,kg,all,all,all,Malawi,,,,1.0,193,15,148.0,0.6714046245900764,1.9569842191603277,0.7661241368714857,0.7357512953367875,0.046632124352331605,False,0.058858957604433694,0.36861205299229166,0.22698362428127208,0.1734385263965969,0.9754500991528833,0.4557451032037032,115.0,78.0,,,
farmgate_by_country,market_vs_crop_sale,native,sized,all,same_good,Malawi,,,,1.0,67,6,57.0,0.4054651081081646,1.5000000000000002,0.3371187227593407,0.582089552238806,0.04477611940298507,False,1.9061968526488458,0.07814996380633144,0.101206473908545,0.010462892305606313,0.9941857039365721,0.12881826857399492,48.0,19.0,,,
farmgate_by_country,market_vs_crop_sale,native,sized,all,all,Malawi,,,,1.0,79,8,62.0,0.4567584024957147,1.5789473684210522,0.49768743530588694,0.620253164556962,0.0379746835443038,False,-0.052469168621865694,0.0984735108355824,0.0891929889915654,0.06413505582419465,0.9945728884027764,0.7637548074355499,50.0,29.0,,,
farmgate_by_country,market_vs_crop_sale,native,all,all,same_good,Malawi,,,,1.0,104,8,86.0,0.2231435513142097,1.25,0.5504036878934582,0.5576923076923077,0.07692307692307693,False,-0.1576497328251297,0.4105645551214971,-0.1223621072402619,0.18752679575457828,0.9339990189852388,2.831921726890079,73.0,31.0,,,
farmgate_by_country,market_vs_crop_sale,native,all,all,all,Mali,,,,1.0,3,2,,1.437587655507441,4.210526315789473,0.6539160288824493,1.0,0.0,False,,,,,,,,,,,
farmgate_by_country,market_vs_crop_sale,native,sized,all,same_good,Mali,,,,1.0,3,2,,1.437587655507441,4.210526315789473,0.6539160288824493,1.0,0.0,False,,,,,,,,,,,
farmgate_by_country,market_vs_crop_sale,native,sized,all,all,Mali,,,,1.0,3,2,,1.437587655507441,4.210526315789473,0.6539160288824493,1.0,0.0,False,,,,,,,,,,,
farmgate_by_country,market_vs_crop_sale,native,all,all,same_good,Mali,,,,1.0,3,2,,1.437587655507441,4.210526315789473,0.6539160288824493,1.0,0.0,False,,,,,,,,,,,
farmgate_by_country,market_vs_crop_sale,native,all,all,all,Niger,,,,1.0,77,7,71.0,0.154150679827258,1.1666666666666663,0.4197158631742717,0.2857142857142857,0.03896103896103896,False,,,-0.5211284019420783,0.17002466667813027,,,65.0,12.0,,,
farmgate_by_country,market_vs_crop_sale,native,sized,all,same_good,Niger,,,,1.0,4,3,,0.7166638078197116,2.047590647031799,0.5233851165148338,0.75,0.0,False,,,,,,,,,,,
farmgate_by_country,market_vs_crop_sale,native,sized,all,all,Niger,,,,1.0,4,3,,0.7166638078197116,2.047590647031799,0.5233851165148338,0.75,0.0,False,,,,,,,,,,,
farmgate_by_country,market_vs_crop_sale,native,all,all,same_good,Niger,,,,1.0,77,7,71.0,0.154150679827258,1.1666666666666663,0.4197158631742717,0.2857142857142857,0.03896103896103896,False,,,-0.5211284019420783,0.17002466667813027,,,65.0,12.0,,,
