country,wave,table,subdf,mechanism,source_column,raw_value,raw_type,count,config_maps_to,how,declaration
CotedIvoire,2018-19,cluster_features,df_main,inline_dict,s00q04,Rural,str,7717,Rural,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
CotedIvoire,2018-19,cluster_features,df_main,inline_dict,s00q04,Urbain,str,5275,Urban,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
CotedIvoire,2018-19,sample,df_cover,inline_dict,s00q04,Rural,str,7717,Rural,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
CotedIvoire,2018-19,sample,df_cover,inline_dict,s00q04,Urbain,str,5275,Urban,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Ethiopia,2011-12,cluster_features,df_main,inline_dict,rural,rural,str,3466,Rural,exact-or-str-match,"['rural', {'mapping': {'rural': 'Rural', 'Rural': 'Rural', 'RURAL': 'Rural', 'small town': 'Urban', 'Small town': 'Urban', 'Small Town': 'Urban', 'SMALL TOWN': 'Urban', 'urban': 'Urban', 'Urban': 'Urban', 'URBAN': 'Urban"
Ethiopia,2011-12,cluster_features,df_main,inline_dict,rural,small town,str,503,Urban,exact-or-str-match,"['rural', {'mapping': {'rural': 'Rural', 'Rural': 'Rural', 'RURAL': 'Rural', 'small town': 'Urban', 'Small town': 'Urban', 'Small Town': 'Urban', 'SMALL TOWN': 'Urban', 'urban': 'Urban', 'Urban': 'Urban', 'URBAN': 'Urban"
Ethiopia,2011-12,sample,,script:.map(dict),rural,rural,str,3466,(script logic),script-path,(script)
Ethiopia,2011-12,sample,,script:.map(dict),rural,small town,str,503,(script logic),script-path,(script)
Ethiopia,2013-14,cluster_features,df_main,inline_dict,rural,Rural,str,3323,Rural,exact-or-str-match,"['rural', {'mapping': {'rural': 'Rural', 'Rural': 'Rural', 'RURAL': 'Rural', 'small town': 'Urban', 'Small town': 'Urban', 'Small Town': 'Urban', 'SMALL TOWN': 'Urban', 'Small town (urban)': 'Urban', 'urban': 'Urban', 'U"
Ethiopia,2013-14,cluster_features,df_main,inline_dict,rural,Large town (urban),str,1486,Urban,exact-or-str-match,"['rural', {'mapping': {'rural': 'Rural', 'Rural': 'Rural', 'RURAL': 'Rural', 'small town': 'Urban', 'Small town': 'Urban', 'Small Town': 'Urban', 'SMALL TOWN': 'Urban', 'Small town (urban)': 'Urban', 'urban': 'Urban', 'U"
Ethiopia,2013-14,cluster_features,df_main,inline_dict,rural,Small town (urban),str,453,Urban,exact-or-str-match,"['rural', {'mapping': {'rural': 'Rural', 'Rural': 'Rural', 'RURAL': 'Rural', 'small town': 'Urban', 'Small town': 'Urban', 'Small Town': 'Urban', 'SMALL TOWN': 'Urban', 'Small town (urban)': 'Urban', 'urban': 'Urban', 'U"
Ethiopia,2013-14,sample,,script:.map(dict),rural,Rural,str,3323,(script logic),script-path,(script)
Ethiopia,2013-14,sample,,script:.map(dict),rural,Large town (urban),str,1486,(script logic),script-path,(script)
Ethiopia,2013-14,sample,,script:.map(dict),rural,Small town (urban),str,453,(script logic),script-path,(script)
Ethiopia,2015-16,cluster_features,df_main,inline_dict,rural,RURAL,str,3272,Rural,exact-or-str-match,"['rural', {'mapping': {'rural': 'Rural', 'Rural': 'Rural', 'RURAL': 'Rural', 'small town': 'Urban', 'Small town': 'Urban', 'Small Town': 'Urban', 'SMALL TOWN': 'Urban', 'Small town (urban)': 'Urban', 'urban': 'Urban', 'U"
Ethiopia,2015-16,cluster_features,df_main,inline_dict,rural,Meduim and large town,str,1255,Urban,exact-or-str-match,"['rural', {'mapping': {'rural': 'Rural', 'Rural': 'Rural', 'RURAL': 'Rural', 'small town': 'Urban', 'Small town': 'Urban', 'Small Town': 'Urban', 'SMALL TOWN': 'Urban', 'Small town (urban)': 'Urban', 'urban': 'Urban', 'U"
Ethiopia,2015-16,cluster_features,df_main,inline_dict,rural,SMALL TOWN,str,427,Urban,exact-or-str-match,"['rural', {'mapping': {'rural': 'Rural', 'Rural': 'Rural', 'RURAL': 'Rural', 'small town': 'Urban', 'Small town': 'Urban', 'Small Town': 'Urban', 'SMALL TOWN': 'Urban', 'Small town (urban)': 'Urban', 'urban': 'Urban', 'U"
Ethiopia,2015-16,sample,,script:.map(dict),rural,RURAL,str,3272,(script logic),script-path,(script)
Ethiopia,2015-16,sample,,script:.map(dict),rural,Meduim and large town,str,1255,(script logic),script-path,(script)
Ethiopia,2015-16,sample,,script:.map(dict),rural,SMALL TOWN,str,427,(script logic),script-path,(script)
