country,wave,table,subdf,build,source_file,source_column,src_dtype,raw_value,raw_type,count,n_rows,mechanism,status
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,basrah - rural,str,323,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,mosul - urban center,str,322,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,baghdad - other urban,str,322,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,salah al-deen - urban center,str,322,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,muthanna - urban center,str,322,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,duhok - other urban,str,321,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,mosul - other urban,str,321,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,baghdad - al-sader,str,321,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,babylon - other urban,str,320,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,najaf - other urban,str,320,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,thi-qar - urban center,str,320,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,thi-qar - other urban,str,320,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,basrah - other urban,str,320,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,anbar - urban center,str,319,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,babylon - rural,str,319,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,kerbela - urban center,str,319,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,wasit - other urban,str,319,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,wasit - rural,str,319,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,sulaimaniya - rural,str,318,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,anbar - other urban,str,318,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,baghdad - al-rasafah,str,318,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,qadisiya - rural,str,318,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,basrah - urban center,str,318,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,erbil - rural,str,317,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,thi-qar - rural,str,317,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,sulaimaniya - other urban,str,316,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,wasit - urban center,str,316,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,salah al-deen - rural,str,315,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,diyala - other urban,str,314,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,baghdad - al-karekh,str,314,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,babylon - urban center,str,314,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,kerbela - other urban,str,314,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,erbil - urban center,str,311,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,erbil - other urban,str,310,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,sulaimaniya - urban center,str,307,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,kirkuk - other urban,str,307,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,duhok - rural,str,303,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,diyala - urban center,str,297,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,diyala - rural,str,291,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,anbar - rural,str,280,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,duhok - urban center,str,274,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,kirkuk - rural,str,268,17822,list_no_mapping,ok
Iraq,2006-07,cluster_features,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,sulaimaniya - urban center - extra,str,92,17822,list_no_mapping,ok
Iraq,2006-07,sample,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,kirkuk - urban center,str,380,17822,inline_dict,ok
Iraq,2006-07,sample,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,mosul - rural,str,324,17822,inline_dict,ok
Iraq,2006-07,sample,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,najaf - urban center,str,324,17822,inline_dict,ok
Iraq,2006-07,sample,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,najaf - rural,str,324,17822,inline_dict,ok
Iraq,2006-07,sample,,yaml,../Data/2007ihses00_cover_page.dta,xstrat,object,qadisiya - urban center,str,324,17822,inline_dict,ok
