country,wave,n,note,weight_n,weight_mean,weight_min,weight_max,weight_sum,weight_neg,weight_zero,panel_weight_n,panel_weight_mean,panel_weight_min,panel_weight_max,panel_weight_sum,panel_weight_neg,panel_weight_zero
Nigeria,2010Q3,5000.0,,5000.0,1.0,0.10100373684354641,5.521990962600669,5000.0,0.0,0.0,5000.0,1.0,0.10100373684354641,5.521990962600669,5000.0,0.0,0.0
Nigeria,2011Q1,5000.0,,5000.0,1.0,0.10100373684354641,5.521990962600669,5000.0,0.0,0.0,5000.0,1.0,0.10100373684354641,5.521990962600669,5000.0,0.0,0.0
Nigeria,2012Q3,4859.0,,4716.0,1.0,0.1082518501984628,5.9182532817155895,4716.0,0.0,0.0,4671.0,1.0,0.10721891269656907,5.861781399256471,4671.0,0.0,0.0
Nigeria,2013Q1,4859.0,,4716.0,1.0,0.1082518501984628,5.9182532817155895,4716.0,0.0,0.0,4671.0,1.0,0.10721891269656907,5.861781399256471,4671.0,0.0,0.0
Nigeria,2015Q3,4696.0,,4581.0,1.0,0.09424692867733246,5.7250978868427955,4581.0,0.0,0.0,4407.0,1.0,0.10104998505582144,5.524519022792822,4407.0,0.0,0.0
Nigeria,2016Q1,4696.0,,4581.0,1.0,0.09424692867733246,5.7250978868427955,4581.0,0.0,0.0,4407.0,1.0,0.10104998505582144,5.524519022792822,4407.0,0.0,0.0
Nigeria,2018Q3,5263.0,,4976.0,1.0,0.07383596759577966,7.753715410347975,4976.0,0.0,0.0,1425.0,1.0,0.22699507419450843,3.0773308703282374,1425.0,0.0,0.0
Nigeria,2019Q1,5263.0,,4976.0,1.0,0.07383596759577966,7.753715410347975,4976.0,0.0,0.0,1425.0,1.0,0.22699507419450843,3.0773308703282374,1425.0,0.0,0.0
Nigeria,2023Q3,5067.0,,4715.0,1.0,0.03567846378027329,7.871670727486195,4715.0,0.0,0.0,1358.0,1.0,0.21632232266639023,4.075249026139103,1358.0,0.0,0.0
Nigeria,2024Q1,5067.0,,4715.0,1.0,0.03567846378027329,7.871670727486195,4715.0,0.0,0.0,1358.0,1.0,0.21632232266639023,4.075249026139103,1358.0,0.0,0.0
Pakistan,1991,4967.0,,0.0,,,,,,,0.0,,,,,,
Panama,1997,4945.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
Panama,2003,6363.0,,6363.0,1.0,0.09953303789357984,8.18107368900323,6363.0,0.0,0.0,6363.0,1.0,0.09953303789357984,8.18107368900323,6363.0,0.0,0.0
Panama,2008,7045.0,,7045.0,1.0,0.08956339199129972,14.556200263096613,7045.0,0.0,0.0,7045.0,1.0,0.08956339199129972,14.556200263096613,7045.0,0.0,0.0
Peru,,,no sample in data_scheme,,,,,,,,,,,,,,
Senegal,2018-19,7156.0,,7156.0,1.0,0.061074143702857075,11.217745447128626,7156.0,0.0,0.0,7156.0,1.0,0.061074143702857075,11.217745447128626,7156.0,0.0,0.0
Senegal,2021-22,7120.0,,7120.0,1.0,0.059618185171771476,10.360121963541895,7120.0,0.0,0.0,7120.0,1.0,0.059618185171771476,10.360121963541895,7120.0,0.0,0.0
Serbia,2007,5557.0,,5557.0,1.0,0.2937077731736755,6.573418489160898,5557.0,0.0,0.0,5557.0,1.0,0.10072558994035002,7.267346378325234,5557.0,0.0,0.0
Serbia and Montenegro,2002,6386.0,,6386.0,1.0,0.7111648146162649,10.525919956136525,6386.0,0.0,0.0,0.0,,,,,0.0,0.0
Serbia and Montenegro,2003,2548.0,,2548.0,1.0,0.5938863197803023,3.436448246830978,2548.0,0.0,0.0,2548.0,1.0,0.21868326973737473,4.872879577904421,2548.0,0.0,0.0
South Africa,1993,8809.0,,8809.0,1.0,0.4504601942477864,7.588074626974001,8809.0,0.0,0.0,8809.0,1.0,0.4504601942477864,7.588074626974001,8809.0,0.0,0.0
Tajikistan,1999,2000.0,,0.0,,,,,0.0,0.0,0.0,,,,,,
Tajikistan,2003,4160.0,,4160.0,1.0,0.16514487492107144,1.15601427607249,4160.0,0.0,0.0,0.0,,,,,,
Tajikistan,2007,4860.0,,4860.0,1.0,0.07878409042664383,2.5894483404771798,4860.0,0.0,0.0,0.0,,,,,,
Tajikistan,2009,1503.0,,1503.0,1.0,0.1319634641433426,2.6516023168989404,1503.0,0.0,0.0,0.0,,,,,,
Tanzania,2008-09,3265.0,,3265.0,0.9999999999999999,0.11384447237179705,2.2826066344838196,3264.9999999999995,0.0,0.0,3265.0,0.9999999999999999,0.11384447237179705,2.2826066344838196,3264.9999999999995,0.0,0.0
Tanzania,2010-11,3924.0,,3924.0,1.0,0.03305418233523486,4.606526214755908,3924.0,0.0,0.0,3924.0,1.0,0.03305418233523486,4.606526214755908,3924.0,0.0,0.0
Tanzania,2012-13,5010.0,,5010.0,1.0,0.013285386098244001,7.244531989194547,5010.0,0.0,0.0,5010.0,1.0,0.013285386098244001,7.244531989194547,5010.0,0.0,0.0
Tanzania,2014-15,4341.0,,4339.0,1.0,0.025176957745606066,21.414317556942283,4339.0,0.0,0.0,987.0,1.0,0.012148977969016452,10.205904914912102,987.0,0.0,0.0
Tanzania,2019-20,1184.0,,1184.0,1.0,0.008434452770245486,16.61132330448306,1184.0,0.0,0.0,1184.0,1.0,0.008434452770245486,16.61132330448306,1184.0,0.0,0.0
Tanzania,2020-21,4709.0,,4709.0,1.0,0.02899654067746762,3.44500358927853,4709.0,0.0,0.0,4164.0,1.0,0.026980194666823474,3.3270961840737776,4164.0,0.0,0.0
Timor-Leste,2001,1800.0,,1800.0,1.0,0.1283477735870616,3.7580394555242784,1800.0,0.0,0.0,0.0,,,,,,
Timor-Leste,2007-08,4477.0,,4477.0,1.0,0.0824017834026,6.818388123559022,4477.0,0.0,0.0,0.0,,,,,,
Togo,2018,6171.0,,6171.0,1.0,0.266850416474746,5.972749793523015,6171.0,0.0,0.0,6171.0,1.0,0.266850416474746,5.972749793523015,6171.0,0.0,0.0
Uganda,2005-06,3123.0,,3123.0,1.0,0.08404668282544363,3.3142671784797857,3123.0,0.0,0.0,3123.0,1.0,0.08404668282544363,3.3142671784797857,3123.0,0.0,0.0
Uganda,2009-10,2975.0,,2973.0,0.9999999999999999,0.10747027159206632,4.5484457584987705,2972.9999999999995,0.0,0.0,2973.0,0.9999999999999999,0.10747027159206632,4.5484457584987705,2972.9999999999995,0.0,0.0
Uganda,2010-11,2716.0,,2715.0,1.0,0.13955876780921267,3.957205960210372,2715.0,0.0,0.0,2715.0,1.0,0.13955876780921267,3.957205960210372,2715.0,0.0,0.0
Uganda,2011-12,2850.0,,2826.0,0.9999999999999999,0.05862081989340887,10.845142468819079,2825.9999999999995,0.0,0.0,2826.0,0.9999999999999999,0.05862081989340887,10.845142468819079,2825.9999999999995,0.0,0.0
Uganda,2013-14,3119.0,,3119.0,1.0,0.1453932288201929,2.9786491049495454,3119.0,0.0,0.0,1974.0,1.0,0.0,10.340959093883503,1974.0,0.0,412.0
Uganda,2015-16,3305.0,,3256.0,1.0,0.02869321738378519,10.703942309453293,3256.0,0.0,0.0,3303.0,1.0,0.0,11.720576285431534,3303.0,0.0,1547.0
Uganda,2018-19,3176.0,,3176.0,1.0000000000000002,0.12038496143643533,5.889464598412705,3176.0000000000005,0.0,0.0,2990.0,1.0,0.0335713568606132,4.854739993377474,2990.0,0.0,0.0
Uganda,2019-20,3098.0,,3098.0,1.0,0.11935035155151184,5.847615125874656,3098.0,0.0,0.0,3098.0,1.0,0.11935035155151184,5.847615125874656,3098.0,0.0,0.0
