country,wave,n,note,weight_n,weight_mean,weight_min,weight_max,weight_sum,weight_neg,weight_zero,panel_weight_n,panel_weight_mean,panel_weight_min,panel_weight_max,panel_weight_sum,panel_weight_neg,panel_weight_zero
Malawi,2019-20,14612.0,,14612.0,757.820312879291,22.4999318045,7525.956176387677,11073270.4117922,0.0,0.0,3178.0,1144.4828270985909,8.460190115127428,21055.3796230228,3637166.424519322,0.0,0.0
Mali,2014-15,3804.0,,3804.0,470.62791105800875,15.900877952575684,6453.21142578125,1790268.5736646652,0.0,0.0,3804.0,470.62791105800875,15.900877952575684,6453.21142578125,1790268.5736646652,0.0,0.0
Mali,2017-18,8390.0,,8390.0,214.52008425856943,9.152237892150879,2991.6103515625,1799823.5069293976,0.0,0.0,8390.0,214.52008425856943,9.152237892150879,2991.6103515625,1799823.5069293976,0.0,0.0
Mali,2018-19,6602.0,,6602.0,417.84793219498454,5.666342735290527,2592.830078125,2758632.048351288,0.0,0.0,6602.0,417.84793219498454,5.666342735290527,2592.830078125,2758632.048351288,0.0,0.0
Mali,2021-22,6143.0,,6143.0,468.6545061141728,6.397851937588572,3870.394546647227,2878944.6310593635,0.0,0.0,6143.0,468.6545061141728,6.397851937588572,3870.394546647227,2878944.6310593635,0.0,0.0
Nepal,,,"ERROR: PathMissingError(""The path '/global/scratch/fsa/fc_jevons/ligon/mirrors/LSMS_Library/.claude/worktrees/agent-a2977e8867b7d9c20/lsms_library/countries/Nepal/1995-96/Data/../Data/c1_nlss_public.dta' does not exist in the target repository '/global/scratch/fsa/fc_jevons/ligon/mirrors/LSMS_Library/.clau",,,,,,,,,,,,,,
Niger,2011-12,3968.0,,3968.0,624.0655241935484,15.0,2904.0,2476292.0,0.0,0.0,3968.0,624.0655241935484,15.0,2904.0,2476292.0,0.0,0.0
Niger,2014-15,3558.0,,3558.0,774.5581498258632,9.921477317810059,7444.7314453125,2755877.8970804214,0.0,0.0,3558.0,774.5581498258632,9.921477317810059,7444.7314453125,2755877.8970804214,0.0,0.0
Niger,2018-19,6024.0,,6024.0,609.6372740455516,40.391204833984375,5111.22900390625,3672454.938850403,0.0,0.0,6024.0,609.6372740455516,40.391204833984375,5111.22900390625,3672454.938850403,0.0,0.0
Niger,2021-22,6622.0,,6622.0,624.4490478311699,11.714579582214355,6147.59130859375,4135101.5947380066,0.0,0.0,6622.0,624.4490478311699,11.714579582214355,6147.59130859375,4135101.5947380066,0.0,0.0
Nigeria,2010Q3,5000.0,,5000.0,6061.126957275391,612.1964721679688,33469.48828125,30305634.786376953,0.0,0.0,5000.0,6061.126957275391,612.1964721679688,33469.48828125,30305634.786376953,0.0,0.0
Nigeria,2011Q1,5000.0,,5000.0,6061.126957275391,612.1964721679688,33469.48828125,30305634.786376953,0.0,0.0,5000.0,6061.126957275391,612.1964721679688,33469.48828125,30305634.786376953,0.0,0.0
Nigeria,2012Q3,4859.0,,4716.0,6283.664592367853,680.2183181503897,37188.3185949811,29633762.217606798,0.0,0.0,4671.0,6344.200860117063,680.2183181503897,37188.3185949811,29633762.2176068,0.0,0.0
Nigeria,2013Q1,4859.0,,4716.0,6283.664592367853,680.2183181503897,37188.3185949811,29633762.217606798,0.0,0.0,4671.0,6344.200860117063,680.2183181503897,37188.3185949811,29633762.2176068,0.0,0.0
Nigeria,2015Q3,4696.0,,4581.0,6495.665110014257,612.1964863353506,37188.3185949811,29756641.86897531,0.0,0.0,4407.0,6731.5034017533735,680.2183181503896,37188.3185949811,29665735.491527118,0.0,0.0
Nigeria,2016Q1,4696.0,,4581.0,6495.665110014257,612.1964863353506,37188.3185949811,29756641.86897531,0.0,0.0,4407.0,6731.5034017533735,680.2183181503896,37188.3185949811,29665735.491527118,0.0,0.0
Nigeria,2018Q3,5263.0,,4976.0,5417.413938283154,400.0,42005.0859375,26957051.756896973,0.0,0.0,1425.0,20870.445308388156,4737.48828125,64225.265625,29740384.564453125,0.0,0.0
Nigeria,2019Q1,5263.0,,4976.0,5417.413938283154,400.0,42005.0859375,26957051.756896973,0.0,0.0,1425.0,20870.445308388156,4737.48828125,64225.265625,29740384.564453125,0.0,0.0
Nigeria,2023Q3,5067.0,,4715.0,8658.966383813946,308.93861849950986,68160.53221375523,40827026.499682754,0.0,0.0,1358.0,21900.13597697959,4737.48828125,89248.5078125,29740384.65673828,0.0,0.0
Nigeria,2024Q1,5067.0,,4715.0,8658.966383813946,308.93861849950986,68160.53221375523,40827026.499682754,0.0,0.0,1358.0,21900.13597697959,4737.48828125,89248.5078125,29740384.65673828,0.0,0.0
Pakistan,1991,4967.0,,0.0,,,,,,,0.0,,,,,,
Panama,1997,4945.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
Panama,2003,6363.0,,6363.0,119.18354662323118,11.862700462341309,975.0493774414062,758364.90716362,0.0,0.0,6363.0,119.18354662323118,11.862700462341309,975.0493774414062,758364.90716362,0.0,0.0
Panama,2008,7045.0,,7045.0,126.82333882482784,11.358728408813477,1846.06591796875,893470.4220209122,0.0,0.0,7045.0,126.82333882482784,11.358728408813477,1846.06591796875,893470.4220209122,0.0,0.0
Peru,,,no sample in data_scheme,,,,,,,,,,,,,,
Senegal,2018-19,7156.0,,7156.0,250.37550503158783,15.29146957397461,2808.648681640625,1791687.1140060425,0.0,0.0,7156.0,250.37550503158783,15.29146957397461,2808.648681640625,1791687.1140060425,0.0,0.0
Senegal,2021-22,7120.0,,7120.0,297.4399439926526,17.7328296584353,3081.5140965929513,2117772.4012276866,0.0,0.0,7120.0,297.4399439926526,17.7328296584353,3081.5140965929513,2117772.4012276866,0.0,0.0
Serbia,2007,5557.0,,5557.0,432.39034902927193,126.99640655517578,2842.28271484375,2402793.169555664,0.0,0.0,5557.0,1333.633227980049,134.33099365234375,9691.974609375,7410999.847885132,0.0,0.0
Serbia and Montenegro,2002,6386.0,,6386.0,381.25687468899406,271.136474609375,4013.079345703125,2434706.401763916,0.0,0.0,0.0,,,,,0.0,0.0
