s4fq2c	int8	Level of education?
s4fq2co	string	Other Specify
s4fq3a	int8	How long did it take [NAME] to secure employment/ income earning activities afte
s4fq3b	int8	Length of Transition  Month
s4fq3c	int8	Level of education?
s4fq3co	string	Other  Specify
s4fq4	int8	At what age did you start to work for the first time in your life? (As regular o
s4gq1a	int8	Superficial injuries or open wounds
s4gq1b	int8	Fractures
s4gq1c	int8	Dislocations, sprains or strains
s4gq1d	int8	Burns, corrosions, scalds or frostbite
s4gq1e	int8	Breathing problems
s4gq1f	int8	Eye problems
s4gq1g	int8	Skin problems
s4gq1h	int8	Stomach problems/ diarrhoea
s4gq1i	int8	Fever
s4gq1j	int8	Extreme fatigue
s4gq1k	int8	Snake bite
s4gq1l	int8	Insect bite (including mosquito bites)
s4gq1m	int8	Other (specify)
s4gq1mo	string	Other (specify)
s4gq2	int8	Think about (NAME?s) most serious illness/injury, how did this/these affect your
s4gq3	int8	Why did (NAME) not stop work as result of this illness or injury?
s4gq3o	string	Other Specify
s4gq4a1	double	Main occupation (code) - Major
s4gq4a2	double	Main occupation (code) - Detail (4)
s4gq4a3	int32	Main occupation (code) - Detail (6)
s4gq5	int8	Does (NAME) operate any tool/machinery/heavy equipment at work?
s4gq6	string	What type of tools, equipment or machines does (NAME) use at work?
s4gq6o	string	Other specify
s4gq7a	int8	Dust, fumes
s4gq7b	int8	Fire, gas, flames
s4gq7c	int8	Loud noise or vibration
s4gq7d	int8	Extreme cold or heat
s4gq7e	int8	Dangerous tools (knives etc)
s4gq7f	int8	Work  underground
s4gq7g	int8	Work at heights
s4gq7h	int8	Work in water/lake/pond/river
s4gq7i	int8	Workplace too dark or confined
s4gq7j	int8	Insufficient ventilation
s4gq7k	int8	Chemicals (pesticides, glues, etc.)
s4gq7l	int8	Explosives
s4gq7m	int8	Narcotic drugs
s4gq7n	int8	Arms (guns)
s4gq7o	int8	Other things, processes or conditions bad for your health  or safety specify
s4gq7oo	string	Other Specify
s4gq8a	int8	Constantly shouted at
s4gq8b	int8	Repeatedly insulted
s4gq8c	int8	Beaten /physically hurt
s4gq8d	int8	Sexually harassed (touched or done things to NAME that NAME did not want)
s4gq8e	int8	Other specify
s4gq8eo	string	other specify
s4gq9a	int8	Posting of safety signages or warnings
s4gq9b	int8	Workers? orientation on safety and health hazards at work
s4gq9c	int8	Installation of machine guards on moving parts/equipment
s4gq9d	int8	Emergency preparedness and response activities for earthquake, fire, chemical sp
s4gq9e	int8	Regular monitoring and control of hazards such as chemicals, noise and heat in w
s4gq9f	int8	Submission of required reports on illnesses/injuries to MELR
s4gq9g	int8	Trainings on safety and health for officers and workers
s4gq9h	int8	Smoke-free workplace
s4gq9i	int8	Periodic/annual medical exam of workers
s4gq9j	int8	Periodic/annual medical exam for workers
s4gq9k	int8	Provision of appropriate personal protective equipment (PPE) such as respirators
s4gq9l	int8	Provision of COVID-19 related PPEs
s4gq9m	int8	HIV and AIDS education in the workplace
s4gq9n	int8	Hepatitis B education in the workplace
s4gq9o	int8	Other (specify)
s4gq9oo	string	Other (specify)
s4gq10a	int8	Hearing Conservation Program
s4gq10b	int8	Monitoring/Surveillance of Occupational and Work-Related Injuries and Illnesses
s4gq10c	int8	Healthy Lifestyle Program such as smoking cessation
s4gq10d	int8	Regular physical exercise
s4gq10e	int8	Good nutrition and stress management
s4gq10f	int8	Policy on non-discrimination of workers who have/had Pulmonary Tuberculosis (PTB
s4gq10g	int8	Policy on non-discrimination of workers confirmed/suspected/perceived to have HI
s4gq10h	int8	Policy on non-discrimination of migrant workers in particular women
s4gq10i	int8	Policy on non-discrimination of workers confirmed/suspected/perceived to have He
s4gq10j	int8	Anti-Sexual Harassment Program h. HIV and AIDS Prevention and Control Policy
s4gq10k	int8	Program Indoor Air Quality Program
s4gq10l	int8	Fire Prevention and Control Program
s4gq10m	int8	Chemical Safety Program such as provision of Globally Harmonized System (GHS) la
s4gq10n	int8	Other (specify)
s4gq10no	string	Other (specify)
s4gq11	string	Which of the following designated health and safety personnel does your employer
s4gq11o	string	Other specify
s4gq12a	int8	Is your safety officer accredited by the MELR?
s4gq12b	int8	Is your safety officer accredited by the MELR?
s4gq12c	int8	Is your safety officer accredited by the MELR?
s4gq12d	int8	Is your safety officer accredited by the MELR?
s4gq12e	int8	Is your safety officer accredited by the MELR?
s4gq12f	int8	Is your safety officer accredited by the MELR?
s4gq12g	int8	Is your safety officer accredited by the MELR?
s4gq13a	int8	Freedom of association
s4gq13b	int8	Effective recognition of the rights to collective bargaining
s4gq13c	int8	Minimum wage salary
s4gq13d	int8	Elimination of discrimination in respect of employment and occupation
s4gq13e	int8	Other (specify)
s4gq13eo	string	Other (specify)
s4gq14	int8	In your opinion do you think these laws are enforced/implemented by the agencies
s4aq60x	int8	Who in your household mainly decides on the use of this payment?
s4bq16_others	string	Other Specify
s4hq1aa	int8	
s4hq1ab	int8	
s4aq52ox	string	Other Specify
s4cq9o	string	Other Specify
s4dq5o	string	Other Specify
s4hq11a	string	Which of the following does [NAME] perceive as work?
s4hq1ac	int8	Learning a trade/Craft (Mechanic/Carpentry/Sewing etc.)
s4hq1ad	int8	Volunteering service to the community/country without pay
s4hq1ae	int8	Engaging in own productive activity for some income
s4hq1af	int8	Helping out your household/family in the house/business
s4hq11b	string	Anyother suggestion on what work is?
s4hq2	string	Why do People Work
s4hq12a	int8	People work for money/income
s4hq12b	int8	People work for prestige in society
s4hq12c	int8	People work for social recognition
s4hq2d	int8	People work for self-esteem
s4hq2e	int8	People work for fulfilment
s4hq2f	int8	People work to practice profession
s4hq2g	int8	People work for opportunity to serve
s4hq2h	int8	People work to have a place to go everyday
s4hq2i	int8	People work to contribute to national development
s4hq2j	int8	People work to meet society/family expectations
s4hq2k	int8	A man is expected to work
s4hq2z	int8	People work for other reasons (specified)
s4hq2o	string	Other specify
