country,feature,wave,tier,coverage,n_rows,detail
Ethiopia,cluster_features,2015-16,sane,declared,432,warn: has_household_index
Ethiopia,cluster_features,2018-19,builds,declared,535,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
Ethiopia,cluster_features,2021-22,builds,declared,435,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
Ethiopia,community_prices,2011-12,sane,declared,4340,warn: has_household_index
Ethiopia,community_prices,2013-14,sane,declared,5370,warn: has_household_index
Ethiopia,community_prices,2015-16,sane,declared,9226,warn: has_household_index
Ethiopia,community_prices,2018-19,sane,declared,13994,warn: has_household_index
Ethiopia,community_prices,2021-22,sane,declared,12327,warn: has_household_index
Ethiopia,crop_production,2011-12,sane,declared,7744,warn: index_levels_match_scheme
Ethiopia,crop_production,2013-14,sane,declared,26159,warn: index_levels_match_scheme
Ethiopia,crop_production,2015-16,sane,declared,25920,warn: index_levels_match_scheme
Ethiopia,crop_production,2018-19,sane,declared,14092,warn: index_levels_match_scheme
Ethiopia,crop_production,2021-22,sane,declared,11604,warn: index_levels_match_scheme
Ethiopia,food_acquired,2011-12,sane,declared,31084,warn: index_levels_match_scheme
Ethiopia,food_acquired,2013-14,sane,declared,44337,warn: index_levels_match_scheme
Ethiopia,food_acquired,2015-16,sane,declared,67161,warn: index_levels_match_scheme
Ethiopia,food_acquired,2018-19,sane,declared,98800,warn: index_levels_match_scheme
Ethiopia,food_acquired,2021-22,sane,declared,84538,warn: index_levels_match_scheme
Ethiopia,food_coping,2011-12,sane,declared,29523,warn: index_levels_match_scheme
Ethiopia,food_coping,2013-14,sane,declared,41926,warn: index_levels_match_scheme
Ethiopia,food_coping,2015-16,sane,declared,39631,warn: index_levels_match_scheme
Ethiopia,food_coping,2018-19,absent,absent,,source not declared for wave
Ethiopia,food_coping,2021-22,absent,absent,,source not declared for wave
Ethiopia,food_expenditures,2011-12,sane,declared,19166,all checks pass
Ethiopia,food_expenditures,2013-14,sane,declared,32484,all checks pass
Ethiopia,food_expenditures,2015-16,sane,declared,52852,all checks pass
Ethiopia,food_expenditures,2018-19,sane,declared,84871,all checks pass
Ethiopia,food_expenditures,2021-22,sane,declared,74718,all checks pass
Ethiopia,food_prices,2011-12,sane,declared,18905,all checks pass
Ethiopia,food_prices,2013-14,sane,declared,32298,all checks pass
Ethiopia,food_prices,2015-16,sane,declared,52843,all checks pass
Ethiopia,food_prices,2018-19,sane,declared,84871,all checks pass
Ethiopia,food_prices,2021-22,sane,declared,74718,all checks pass
Ethiopia,food_quantities,2011-12,sane,declared,30812,all checks pass
Ethiopia,food_quantities,2013-14,sane,declared,44127,all checks pass
