country,u,kg_per_unit
Malawi,plate of nsima,0.7499999999999999
Malawi,plate of nsima with beef,1.7011494252873565
Malawi,plate rice,1.2394957983193278
Malawi,pocket,0.11599999666213989
Malawi,polythene bag,0.32056359737766527
Malawi,polythene bag (small),0.35294117647058826
Malawi,pot,2.2537932460845083
Malawi,poto,0.6666666666666666
Malawi,pqcket,3.106060606060606
Malawi,puffs,1.4259055118110238
Malawi,quarter,0.25168539580484933
Malawi,quarter kg,5.04
Malawi,quarterpaper,0.06330207305034552
Malawi,quoter bottle,0.7149846923283812
Malawi,quoter litre bottle,0.5185185185185185
Malawi,raider,0.09530149878006275
Malawi,rice meal,1.5
Malawi,sachet,0.20823529411764707
Malawi,sachets / packet,0.08333333333333333
Malawi,sachetubelarge,0.11320754716981132
Malawi,sachetubesmall,0.275
Malawi,sachey,0.15000000596046448
Malawi,satchet,0.12999999523162842
Malawi,satchet (large),0.32653061224489793
Malawi,satchet (medium),0.19868835257082898
Malawi,satchet (small),0.20916666666666667
Malawi,satchet/tube,0.13075000047683716
Malawi,satchet/tube (large),0.19712415932610222
Malawi,satchet/tube (medium),0.1591936728395062
Malawi,satchet/tube (small),0.12
Malawi,satchet/tube/packet,0.14814814814814814
Malawi,satchetofraja,0.14
Malawi,satchettube,0.525
Malawi,saxhet,0.6169665809768637
Malawi,saxhwt,0.25
Malawi,scones,0.35
Malawi,scud,0.38603362054650125
Malawi,serving,0.45000001788139343
Malawi,servong,0.6959999799728394
Malawi,seventeabag,0.019200000000000002
Malawi,slice,3.1799999999999997
Malawi,small,0.215
Malawi,small bottle,0.8000000317891439
Malawi,small box tea bags,0.618989835898067
Malawi,small container,1.0499047545168487
Malawi,small heap,0.22570883320269797
Malawi,small jumbo,0.7885304659498208
Malawi,small khofi plate,0.1207133058984911
Malawi,small packet,0.12036097242603096
Malawi,small packet gold tea,0.14449696195408576
Malawi,small packets,0.1979999989271164
Malawi,small packets first choice,0.22319999635219573
Malawi,small packs,0.25714286110491497
Malawi,small pieces,0.10098360655737705
Malawi,small sachet,0.07863951249956726
Malawi,small sarchet,0.0724610152243198
Malawi,small tiin,0.9516438928418689
Malawi,small tin,1.550058019778131
Malawi,small tina,0.3999999950329462
Malawi,small.bottle,0.4128813453551614
Malawi,smallcatton,0.3945445689235266
Malawi,smallpaper,0.1
Malawi,smalpackets,0.2
Malawi,soya pieces,0.28594771241830064
Malawi,soyabeanpieces,0.2701298701298701
Malawi,spoon,0.42
Malawi,sqchet,0.08372093023255814
Malawi,standard bread,1.3333333333333333
Malawi,table spoon,0.20000000794728595
Malawi,tablespoon,0.0375
Malawi,takeaway box,1.3333333184321718
Malawi,tea & buns,1.4943396226415095
Malawi,tea and bread,0.7111111111111112
Malawi,tea and snacks,0.36937500536441803
Malawi,tea bag,0.02459679230988122
Malawi,tea bags,0.016464285714285716
Malawi,teabag,0.028571428571428574
Malawi,teabags,0.005
Malawi,teaspoon,0.048
Malawi,three full bottles,0.17513880997570686
Malawi,thungwa of khwanya,0.25
Malawi,times,1.1320754597623306
Malawi,tin,1.2
Malawi,tin (small),1.1425939050318923
Malawi,tin100,1.0775862068965518
Malawi,tina,0.4116766467065868
Malawi,tina (heaped),0.35019455252918286
Malawi,tina (large),0.14285714285714285
Malawi,tina (small),0.2801513128615932
Malawi,tina falt,0.21599999070167542
Malawi,tina flat,0.3428571479661124
Malawi,tina for chips,0.2561240323489191
Malawi,tina heaped,0.592682932502524
Malawi,tina plate,0.5695010634526764
Malawi,tina(flat),1.01125
Malawi,tina(small),0.34137205387205394
Malawi,tindrinks,1.0937735849056605
Malawi,tins,1.9708306966393785
Malawi,tonec,0.895384641794058
Malawi,toti,0.08333333333333333
Malawi,tray,3.2941176470588234
Malawi,trip,2.4
Malawi,tub,0.15662500013907749
Malawi,tube,0.26666666666666666
Malawi,tube (large),0.2956062424969988
Malawi,tube (medium),0.21909090909090911
Malawi,tube /sachet,0.2
Malawi,two bananas,0.04736842204329048
Malawi,two plates of nsima and beef,1.5
Malawi,two tubes,0.1261
Malawi,twopiece,0.1320754716981132
Malawi,unit,1.1290344197380446
Malawi,velmot,2.6399999856948853
Malawi,veremoti,1.3
Malawi,veremut,1.9359999895095827
Malawi,veta,1.7793438831272426
Malawi,vetor,3.7700397164191117
Malawi,whole,3.9141537592961235
Malawi,whole cabbage,0.2264516129032258
Malawi,whole chicken,4.0249999999999995
Malawi,whole duck,3.125
Malawi,whole loaf of bread,0.7058823529411765
Malawi,whole rabbit,4.870689655172414
