country,u,kg_per_unit
Malawi,small heap,0.3197786199247449
Malawi,small jumbo,0.7885304659498208
Malawi,small khofi plate,0.36213991769547327
Malawi,small packet,0.22648795360238827
Malawi,small packet gold tea,0.14449696195408576
Malawi,small packets,2.7719999849796295
Malawi,small packets first choice,1.1159999817609787
Malawi,small packs,1.0285714444196599
Malawi,small pieces,0.4039344262295082
Malawi,small sachet,0.15727902499913451
Malawi,small sarchet,0.2898440608972792
Malawi,small tiin,0.9516438928418689
Malawi,small tin,1.5492957746478875
Malawi,small tina,0.3999999950329462
Malawi,small.bottle,0.4128813453551614
Malawi,smallcatton,0.1972722844617633
Malawi,smallpaper,0.1
Malawi,smalpackets,0.2
Malawi,soya pieces,0.5256769374416433
Malawi,soyabeanpieces,0.5402597402597402
Malawi,spoon,0.42
Malawi,sqchet,0.08372093023255814
Malawi,standard bread,5.333333333333333
Malawi,table spoon,0.25
Malawi,tablespoon,0.18666666666666668
Malawi,takeaway box,3.9999999552965155
Malawi,tea & buns,1.4943396226415095
Malawi,tea and bread,0.7111111111111112
Malawi,tea and snacks,1.4775000214576721
Malawi,tea bag,0.22085956691725778
Malawi,tea bags,0.1825
Malawi,teabag,0.2
Malawi,teabags,0.035
Malawi,teaspoon,0.10893162393162392
Malawi,three full bottles,0.5254164299271206
Malawi,thungwa of khwanya,0.25
Malawi,times,3.3962263792869916
Malawi,tin,1.35
Malawi,tin (small),1.1425939050318923
Malawi,tin100,1.0775862068965518
Malawi,tina,0.72
Malawi,tina (heaped),1.0505836575875487
Malawi,tina (large),0.4
Malawi,tina (small),0.35416666666666663
Malawi,tina falt,0.21599999070167542
Malawi,tina flat,0.3428571479661124
Malawi,tina for chips,1.2806201617445956
Malawi,tina heaped,0.6333333452542622
Malawi,tina plate,0.5695010634526764
Malawi,tina(flat),1.01125
Malawi,tina(small),0.4918350168350169
Malawi,tindrinks,2.187547169811321
Malawi,tins,5.9124920899181355
Malawi,tonec,2.686153925382174
Malawi,toti,0.5833333333333334
Malawi,tray,3.7037037037037037
Malawi,trip,2.4
Malawi,tub,0.15662500013907749
Malawi,tube,0.4
Malawi,tube (large),0.56
Malawi,tube (medium),0.5
Malawi,tube /sachet,0.3875
Malawi,two bananas,0.09473684408658097
Malawi,two plates of nsima and beef,3.0
Malawi,two tubes,0.2522
Malawi,twopiece,0.2641509433962264
Malawi,unit,2.5374384236453205
Malawi,velmot,5.2799999713897705
Malawi,veremoti,2.6
Malawi,veremut,1.9359999895095827
Malawi,veta,3.558687766254485
Malawi,vetor,7.5400794328382235
Malawi,whole,3.8655462184873954
Malawi,whole cabbage,0.2264516129032258
Malawi,whole chicken,4.235294117647059
Malawi,whole duck,3.125
Malawi,whole loaf of bread,1.65
Malawi,whole rabbit,4.870689655172414
Malawi,wrapped in paper,0.155
Nigeria,kg,1.0
Nigeria,kilogram,1.0
Nigeria,kilogramme,1.0
Nigeria,g,0.001
Nigeria,gram,0.001
Nigeria,gramm,0.001
Nigeria,l,1.0
Nigeria,litre,1.0
Nigeria,liter,1.0
Nigeria,ml,0.001
Nigeria,cl,0.01
Nigeria,pound,0.453592
Nigeria,lbs,0.453592
Nigeria,65.0,0.38999999999999996
Nigeria,basin,5.262295186004452
Nigeria,basin big/large,6.175
Nigeria,basin medium,3.1578947368421053
Nigeria,basket,1.724799990653992
Nigeria,basket big,0.02
Nigeria,bottle/can,2.5874999819013027
Nigeria,metric cup,0.6331524702151462
Nigeria,none,0.51
Nigeria,packet,0.8306981153389386
Nigeria,sachet,0.33273118309043476
Nigeria,sack/bag,24.1683331330617
Nigeria,shot,0.13772590132098975
