country,u,n_rows,n_distinct_j,n_j_with_factor,kg_per_unit_pooled_old,kg_per_unit_pooled_new,kg_per_j_min,kg_per_j_p25,kg_per_j_median,kg_per_j_p75,kg_per_j_max,ratio_max_min
Malawi,16a,2,2,0,0.6427850366923215,0.38278503669232145,,,,,,
Malawi,Small Heap,4,2,0,0.3197786199247449,0.22570883320269797,,,,,,
Malawi,Serving,38,2,1,0.8000000317891439,0.45000001788139343,0.19999999552965164,0.19999999552965164,0.19999999552965164,0.19999999552965164,0.19999999552965164,
Malawi,Sachetubesmall,2,2,0,0.275,0.275,,,,,,
Malawi,Pot,2,2,0,2.2537932460845083,2.2537932460845083,,,,,,
Malawi,Plastic Container,8,2,1,0.734823296267753,0.734823296267753,0.18,0.18,0.18,0.18,0.18,
Malawi,Batches,21,2,2,0.5950000062584877,0.08500000089406967,0.09359999895095826,0.1183249980211258,0.14304999709129335,0.16777499616146088,0.19249999523162842,2.056623903729837
Malawi,Head,30,2,1,0.8115854700854701,0.45000000000000007,1.75,1.75,1.75,1.75,1.75,
Malawi,Box,2,2,0,1.5066666666666668,1.1733333333333333,,,,,,
Malawi,Satchet (Large),31,2,1,0.66,0.32653061224489793,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,
Malawi,Packets,6,2,0,1.589014598540146,3.095669934640523,,,,,,
Malawi,Packet Large,2,2,0,2.9144323826793874,2.9144323826793874,,,,,,
Malawi,Small,2,2,0,0.215,0.215,,,,,,
Malawi,Chicken,8,2,1,4.676923076923077,4.676923076923077,2.1,2.1,2.1,2.1,2.1,
Malawi,Carton,2,2,0,3.9912508851193365,3.9912508851193365,,,,,,
Malawi,Sqchet,2,2,0,0.08372093023255814,0.08372093023255814,,,,,,
Malawi,16b,2,2,0,0.5575,0.46749999999999997,,,,,,
Malawi,Drum Head,6,2,1,0.3046526867627785,0.3046526867627785,1.22,1.22,1.22,1.22,1.22,
Malawi,Khofi Plate,6,2,0,0.23529850746268655,0.23529850746268655,,,,,,
Malawi,Coffee,25,2,1,0.24380121733818566,0.2190096540627514,0.125,0.125,0.125,0.125,0.125,
Malawi,Mililitres (500),8,2,0,0.9578454332552694,1.629032258064516,,,,,,
Malawi,Mulingo,2,2,0,3.040093457943925,0.9950467289719627,,,,,,
Malawi,Lunch Box,8,2,0,3.0421455938697317,0.8147783251231526,,,,,,
Malawi,Medium Bottle,2,2,0,0.6215007106511077,0.3321669035503692,,,,,,
Malawi,Tube /Sachet,117,2,2,0.3875,0.2,0.08928571428571429,0.10029761904761905,0.1113095238095238,0.12232142857142857,0.13333333333333333,1.4933333333333332
Malawi,4 Bottles,2,2,0,2.0,0.251,,,,,,
Malawi,Heap(Mediun),2,2,0,0.9107857142857142,0.7330714285714285,,,,,,
Malawi,Tube (Medium),58,2,2,0.5,0.21909090909090911,0.08928571428571429,0.10029761904761905,0.1113095238095238,0.12232142857142857,0.13333333333333333,1.4933333333333332
Malawi,Tube (Large),25,2,1,0.56,0.2956062424969988,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,
Malawi,Tina(Flat),2,2,0,1.01125,1.01125,,,,,,
Malawi,1Plate,2,2,0,4.9232,1.7231999999999998,,,,,,
Malawi,Tina(Small),2,2,0,0.4918350168350169,0.34137205387205394,,,,,,
Malawi,Tin (Small),2,2,0,1.1425939050318923,1.1425939050318923,,,,,,
Malawi,1Sachet,2,2,0,0.28598388952819337,0.28598388952819337,,,,,,
Malawi,Tina (Large),5,2,0,0.4,0.14285714285714285,,,,,,
Malawi,Tina Heaped,12,2,1,0.6333333452542622,0.592682932502524,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.3199999928474426,
Malawi,2Sachet,2,2,0,0.1181818181818182,0.0590909090909091,,,,,,
Malawi,Basket,1,1,0,1.0774774774774776,1.0774774774774776,,,,,,
Malawi,10 Units,1,1,0,2.3404255319148937,0.2600472813238771,,,,,,
Malawi,10Satchet,1,1,0,0.09473684210526317,0.09473684210526317,,,,,,
Malawi,12 Bottles,1,1,0,5.04,0.42,,,,,,
Malawi,12Pieces,1,1,0,0.11666666666666667,0.11666666666666667,,,,,,
Malawi,12a,1,1,0,0.31578947368421056,0.31578947368421056,,,,,,
Malawi,12b,1,1,0,0.78,0.195,,,,,,
Malawi,Tina (Heaped),1,1,0,1.0505836575875487,0.35019455252918286,,,,,,
Malawi,Tina Falt,1,1,0,0.21599999070167542,0.21599999070167542,,,,,,
Malawi,Tina For Chips,1,1,0,1.2806201617445956,0.2561240323489191,,,,,,
Malawi,Teabags,1,1,0,0.035,0.005,,,,,,
Malawi,Three Full Bottles,1,1,0,0.5254164299271206,0.17513880997570686,,,,,,
Malawi,Thungwa Of Khwanya,1,1,0,0.25,0.25,,,,,,
Malawi,Times,1,1,0,3.3962263792869916,1.1320754597623306,,,,,,
Malawi,Tin100,1,1,0,1.0775862068965518,1.0775862068965518,,,,,,
Malawi,Takeaway Box,1,1,0,3.9999999552965155,1.3333333184321718,,,,,,
Malawi,Tea & Buns,1,1,0,1.4943396226415095,1.4943396226415095,,,,,,
Malawi,Two Bananas,1,1,0,0.09473684408658097,0.04736842204329048,,,,,,
Malawi,Two Plates Of Nsima And Beef,1,1,0,3.0,1.5,,,,,,
Malawi,Tina Plate,2,1,0,0.5695010634526764,0.5695010634526764,,,,,,
Malawi,Tindrinks,1,1,0,2.187547169811321,1.0937735849056605,,,,,,
Malawi,Tins,1,1,0,5.9124920899181355,1.9708306966393785,,,,,,
Malawi,Tonec,1,1,0,2.686153925382174,0.895384641794058,,,,,,
Malawi,Toti,1,1,0,0.5833333333333334,0.08333333333333333,,,,,,
Malawi,1Ndasi,2,1,0,0.1463588880362403,0.1463588880362403,,,,,,
Malawi,Bags,1,1,0,1.6666666666666667,0.8333333333333334,,,,,,
Malawi,Bakery Donas,1,1,0,1.100896096908076,0.3669653656360254,,,,,,
Malawi,Banches,1,1,0,0.133333338631524,0.066666669315762,,,,,,
Malawi,Bar,3,1,0,2.3529411764705883,1.04,,,,,,
Malawi,1Mlambe,1,1,0,0.11538461538461538,0.11538461538461538,,,,,,
Malawi,6 Pack,1,1,0,5.538461538461538,5.538461538461538,,,,,,
Malawi,6Packs,1,1,0,2.8,1.4,,,,,,
Malawi,7 Plates Meal,1,1,0,13.338888888888889,1.9055555555555554,,,,,,
Malawi,7Buns,1,1,0,1.034,0.1477142857142857,,,,,,
Malawi,Acres,1,1,0,1.42834008097166,0.71417004048583,,,,,,
Malawi,Amediumpall,1,1,0,5.0,5.0,,,,,,
Malawi,B,1,1,0,0.835258358662614,0.0556838905775076,,,,,,
Malawi,Badin Small,1,1,0,1.371539582458508,1.371539582458508,,,,,,
Malawi,3 Cups Of Tea,1,1,0,0.76,0.25333333333333335,,,,,,
Malawi,4 Meals At 150,1,1,0,6.464864864864865,1.6162162162162161,,,,,,
Malawi,Jar,1,1,0,1.5,1.5,,,,,,
Malawi,Jiggies,1,1,0,0.56,0.18666666666666668,,,,,,
Malawi,Juicebox,2,1,0,1.5492277992277992,0.30984555984555984,,,,,,
Malawi,K100Packetp,1,1,0,0.2,0.2,,,,,,
Malawi,Heap'S,1,1,0,1.6799999624490738,0.23999999463558197,,,,,,
Malawi,Milltre,1,1,0,0.21428571428571427,0.0006122448979591836,,,,,,
Malawi,Milters,1,1,0,0.7650000080466269,0.0010200000107288359,,,,,,
Malawi,Mitanda,1,1,0,1.6935483870967742,0.42338709677419356,,,,,,
Malawi,Mkoko,1,1,0,1.4000000000000001,1.4000000000000001,,,,,,
Malawi,Mlamba,1,1,0,1.2571428571428571,0.6285714285714286,,,,,,
Malawi,Medium Sachet,1,1,0,0.20257235184995745,0.20257235184995745,,,,,,
Malawi,Medium Tin,1,1,0,1.9708306966393785,1.9708306966393785,,,,,,
Malawi,Medium Tins,1,1,0,0.9051428562929834,0.4525714281464917,,,,,,
Malawi,Mediumbottle,1,1,0,1.1016393442622952,1.1016393442622952,,,,,,
Malawi,Mediumtin,1,1,0,1.0845070422535212,2.1690140845070425,,,,,,
Malawi,Mice,3,1,0,3.0387596899224807,0.13883333333333334,,,,,,
Malawi,Miligram,1,1,0,0.39111111111111113,0.013037037037037038,,,,,,
Malawi,Mbale,1,1,0,0.30999999999999994,0.30999999999999994,,,,,,
Malawi,Meal,133,1,0,2.9224776639790804,1.1464285714285714,,,,,,
Malawi,Meals,67,1,0,3.2222222222222223,1.0095498024614262,,,,,,
Malawi,Meals At Work,1,1,0,14.285714285714286,1.4285714285714286,,,,,,
Malawi,Meals Eaten At Restaurant,1,1,0,28.37573385518591,4.729288975864319,,,,,,
Malawi,Medium Packet,1,1,0,0.08333333333333333,0.08333333333333333,,,,,,
Malawi,Largespoon,1,1,0,,,,,,,,
Malawi,Largetubbe,1,1,0,0.4,0.4,,,,,,
Malawi,Lichero,1,1,0,5.050434782608697,1.6834782608695655,,,,,,
Malawi,Lipoko,1,1,0,0.7287671232876713,0.3643835616438357,,,,,,
Malawi,Litre Container,1,1,0,4.605263157894737,2.3026315789473686,,,,,,
Malawi,Loaf,53,1,1,1.5,0.75,0.5133333333333334,0.5133333333333334,0.5133333333333334,0.5133333333333334,0.5133333333333334,
Malawi,Loaves,1,1,0,2.25,0.75,,,,,,
Malawi,Otherbucket,1,1,0,2.75,1.375,,,,,,
Malawi,Ox-Cart (Unshelled),2,1,0,0.5343379446640316,0.5343379446640316,,,,,,
Malawi,Oxcart,1,1,0,1.1666666666666667,1.1666666666666667,,,,,,
Malawi,Pack,1,1,0,0.8181818181818181,0.8181818181818181,,,,,,
Malawi,Packerts,1,1,0,0.5308474440280646,0.17694914800935488,,,,,,
Malawi,Nsima Plate,8,1,0,1.0271951219512196,1.0271951219512196,,,,,,
Malawi,Nsima Plate (Phazi),1,1,0,0.21818181818181817,0.21818181818181817,,,,,,
Malawi,Nsima With Chicken,1,1,0,49.43895978810499,0.4943895978810499,,,,,,
Malawi,One Cup,1,1,0,0.3125,0.3125,,,,,,
Malawi,One Piece,1,1,0,0.375,0.375,,,,,,
Malawi,One Plate,1,1,0,0.6208304969366917,0.6208304969366917,,,,,,
Malawi,Onelittle,1,1,0,2.7441818181818176,2.7441818181818176,,,,,,
Malawi,Cup Of Tea & Two Score,1,1,0,3.111111111111111,0.5185185185185186,,,,,,
Malawi,Custard,1,1,0,2.627774262185838,0.6569435655464595,,,,,,
Malawi,Dish Of Nsima And Beef,1,1,0,0.9516129032258065,0.9516129032258065,,,,,,
Malawi,Chocolate Bar,1,1,0,0.5572609208972845,0.5572609208972845,,,,,,
Malawi,Clate,1,1,0,9.8,9.8,,,,,,
Malawi,Clove,2,1,0,0.12333333492279053,0.12333333492279053,,,,,,
Malawi,Container Small,1,1,0,0.9449142790651638,0.1574857131775273,,,,,,
Malawi,Containersmall,1,1,0,0.9183673469387754,0.9183673469387754,,,,,,
Malawi,Kg Packet,1,1,0,2.8079999685287476,2.8079999685287476,,,,,,
Malawi,Khofi,2,1,0,0.17431578947368417,0.17431578947368417,,,,,,
Malawi,Kipsmedium,1,1,0,11.34,3.78,,,,,,
Malawi,Kkilogram,1,1,0,0.3240000009536743,0.3240000009536743,,,,,,
